name,distance,longitude,latitude
DWORZEC NADODRZE,0,17.03402157,51.12439227
PL. STASZICA,2,17.03088377,51.12255099
Pomorska,2,17.03056017,51.11805751
Dmowskiego,2,17.02472382,51.11624383
PL. JANA PAWŁA II,2,17.02222943,51.11213440
pl. Orląt Lwowskich,2,17.02144329,51.10729913
pl. Legionów,2,17.02172817,51.10485494
Arkady (Capitol),2,17.02869907,51.10139117
DWORZEC GŁÓWNY,3,17.03530936,51.10000181
Pułaskiego,2,17.04302504,51.09819421
Kościuszki,2,17.04543891,51.10021609
Komuny Paryskiej,1,17.04662154,51.10225480
pl. Wróblewskiego,2,17.04808740,51.10526270
Urząd Wojewódzki,2,17.04995779,51.10861026
most Grunwaldzki,1,17.05549333,51.11013807
PL. GRUNWALDZKI,2,17.06043420,51.11161059
Piastowska,2,17.06087806,51.11536577
Prusa,2,17.05740455,51.11947637
Wyszyńskiego,2,17.05294166,51.12191848
Nowowiejska,2,17.04489110,51.12423910
Słowiańska,2,17.04021724,51.12354187
DWORZEC NADODRZE,0,17.03503322,51.12431438
