name,distance,longitude,latitude
DWORZEC NADODRZE,0,17.03399798,51.12431518
DWORZEC NADODRZE,0,17.03500926,51.12422936
Słowiańska,2,17.04134956,51.12362685
Nowowiejska,2,17.04513281,51.12436093
Wyszyńskiego,2,17.05187036,51.12232394
Prusa,2,17.05636847,51.11984442
Piastowska,2,17.06090705,51.11620810
PL. GRUNWALDZKI,2,17.05995961,51.11144435
most Grunwaldzki,1,17.05538489,51.11021212
Urząd Wojewódzki,2,17.04955305,51.10863733
pl. Wróblewskiego,2,17.04833897,51.10488489
Komuny Paryskiej,2,17.04611605,51.10172594
Kościuszki,1,17.04528827,51.10019776
Pułaskiego,2,17.04295576,51.09829918
DWORZEC GŁÓWNY,2,17.03726350,51.09964618
Arkady (Capitol),3,17.02975953,51.10124069
pl. Legionów,2,17.02254402,51.10416314
pl. Orląt Lwowskich,2,17.02156812,51.10737346
PL. JANA PAWŁA II,2,17.02253107,51.11222440
Dmowskiego,2,17.02478235,51.11644952
Pomorska,2,17.03100195,51.11789227
PL. STASZICA,2,17.03096835,51.12250509
DWORZEC NADODRZE,0,17.03338605,51.12439011
