name,distance,longitude,latitude
BISKUPIN,0,17.10914151,51.10125726
Spółdzielcza,1,17.10232233,51.10220568
Piramowicza,1,17.09632744,51.10318075
Chełmońskiego,1,17.09071196,51.10388351
Tramwajowa,1,17.08466996,51.10446678
ZOO,1,17.07789820,51.10556077
Hala Stulecia,1,17.07346452,51.10708821
Kliniki,2,17.06511141,51.10971261
PL. GRUNWALDZKI,2,17.05996513,51.11162272
Reja,2,17.05692794,51.11241850
Katedra,2,17.05003487,51.11331718
Urząd Wojewódzki,1,17.04775525,51.10967326
GALERIA DOMINIKAŃSKA,4,17.03966493,51.10769558
Świdnicka,2,17.03195223,51.10744994
Rynek,3,17.02696354,51.11104770
PL. JANA PAWŁA II,2,17.02048757,51.11208496
Młodych Techników,2,17.01193508,51.11287498
pl. Strzegomski (Muzeum Współczesne),1,17.00696258,51.11314781
ZACHODNIA (Stacja kolejowa),2,17.00036260,51.11662829
Niedźwiedzia,2,16.99341779,51.12148278
Małopanewska,1,16.98746677,51.12389404
Kwiska,1,16.98320660,51.12548815
DH Astra,2,16.97605757,51.12813817
Park Zachodni,1,16.97212113,51.12932556
Bajana,1,16.96717920,51.13072758
Metalowców,1,16.95744959,51.13277348
PILCZYCE,2,16.95045065,51.13609336
Stadion Wrocław (Lotnicza),1,16.94032898,51.13738143
Glinianki,2,16.93498947,51.13806349
Kosmonautów (Nowe Żerniki),1,16.92885963,51.13892607
Grabowa,1,16.92093474,51.13992473
Kosmonautów (Szpital),2,16.90586919,51.14185120
Kamiennogórska (Ośrodek dla niewidomych),1,16.89972510,51.14262875
Złotnicka,2,16.88979777,51.14387282
Wschowska,1,16.88144939,51.14490859
Jeleniogórska,1,16.87802906,51.14533453
LEŚNICA,0,16.87170533,51.14465232
